Instance type,Instance family,Instance size,Availability zones,Free-Tier eligible,Bare metal,Hypervisor,vCPUs,Architecture,Cores,Valid cores,Threads per core,Valid threads per core,Sustained clock speed (GHz),Memory (GiB),Storage (GB),Local instance storage,Storage type,Storage disk count,EBS encryption support,EBS optimization support,Network performance,ENA support,Maximum number of network interfaces,IPv4 addresses per interface,IPv6 addresses per interface,IPv6 support,Supported placement group strategies,GPUs,FPGAs,Auto Recovery support,Supported root device types,Dedicated Host support,On-Demand Hibernation support,Burstable Performance support,Current generation,On-Demand Linux pricing,On-Demand Windows pricing
t3.medium,t3,medium,"us-east-1a, us-east-1b, us-east-1c, us-east-1d, us-east-1f",false,false,nitro,2,x86_64,1,1,2,"1,2",2.5,4,-,-,-,-,supported,default,Up to 5 Gigabit,required,3,6,6,true,"partition, spread",-,-,true,ebs,true,true,true,true,0.0416 USD per Hour,0.06 USD per Hour
t3.large,t3,large,"us-east-1a, us-east-1b, us-east-1c, us-east-1d, us-east-1f",false,false,nitro,2,x86_64,1,1,2,"1,2",2.5,8,-,-,-,-,supported,default,Up to 5 Gigabit,required,3,12,12,true,"partition, spread",-,-,true,ebs,true,true,true,true,0.0832 USD per Hour,0.1108 USD per Hour
t3.xlarge,t3,xlarge,"us-east-1a, us-east-1b, us-east-1c, us-east-1d, us-east-1f",false,false,nitro,4,x86_64,2,2,2,"1,2",2.5,16,-,-,-,-,supported,default,Up to 5 Gigabit,required,4,15,15,true,"partition, spread",-,-,true,ebs,true,true,true,true,0.1664 USD per Hour,0.24 USD per Hour
t3.2xlarge,t3,2xlarge,"us-east-1a, us-east-1b, us-east-1c, us-east-1d, us-east-1f",false,false,nitro,8,x86_64,4,"2,4",2,"1,2",2.5,32,-,-,-,-,supported,default,Up to 5 Gigabit,required,4,15,15,true,"partition, spread",-,-,true,ebs,true,true,true,true,0.3328 USD per Hour,0.48 USD per Hour
a1.medium,a1,medium,"us-east-1a, us-east-1b, us-east-1d",false,false,nitro,1,arm64,1,-,1,-,2.3,2,-,-,-,-,supported,default,Up to 10 Gigabit,required,2,4,4,true,"cluster, partition, spread",-,-,true,ebs,true,-,-,false,0.0255 USD per Hour,0.0715 USD per Hour
a1.large,a1,large,"us-east-1a, us-east-1b, us-east-1d",false,false,nitro,2,arm64,2,-,1,-,2.3,4,-,-,-,-,supported,default,Up to 10 Gigabit,required,3,10,10,true,"cluster, partition, spread",-,-,true,ebs,true,-,-,false,0.051 USD per Hour,
a1.xlarge,a1,xlarge,"us-east-1a, us-east-1b, us-east-1d",false,false,nitro,4,arm64,4,-,1,-,2.3,8,-,-,-,-,supported,default,Up to 10 Gigabit,required,4,15,15,true,"cluster, partition, spread",-,-,true,ebs,true,-,-,false,0.102 USD per Hour,0.286 USD per Hour
a1.2xlarge,a1,2xlarge,"us-east-1a, us-east-1b, us-east-1d",false,false,nitro,8,arm64,8,-,1,-,2.3,16,-,-,-,-,supported,default,Up to 10 Gigabit,required,4,15,15,true,"cluster, partition, spread",-,-,true,ebs,true,-,-,false,0.204 USD per Hour,0.572 USD per Hour
a1.4xlarge,a1,4xlarge,"us-east-1a, us-east-1b, us-east-1d",false,false,nitro,16,arm64,16,-,1,-,2.3,32,-,-,-,-,supported,default,Up to 10 Gigabit,required,8,30,30,true,"cluster, partition, spread",-,-,true,ebs,true,-,-,false,0.408 USD per Hour,1.144 USD per Hour
a1.metal,a1,metal,"us-east-1a, us-east-1b, us-east-1d",false,true,,16,arm64,16,-,1,-,2.3,32,-,-,-,-,supported,default,Up to 10 Gigabit,required,8,30,30,true,"cluster, partition, spread",-,-,true,ebs,true,-,-,false,0.408 USD per Hour,
c1.medium,c1,medium,"us-east-1a, us-east-1b, us-east-1c, us-east-1d",false,false,xen,2,"i386, x86_64",2,-,1,-,,1.7,350,true,hdd,1,unsupported,unsupported,Moderate,unsupported,2,6,-,-,"partition, spread",-,-,-,"ebs, instance-store",-,-,-,false,0.13 USD per Hour,0.21 USD per Hour
c1.xlarge,c1,xlarge,"us-east-1a, us-east-1b, us-east-1c, us-east-1d",false,false,xen,8,x86_64,8,-,1,-,,7,1680,true,hdd,4,unsupported,supported,High,unsupported,4,15,-,-,"partition, spread",-,-,-,"ebs, instance-store",-,-,-,false,0.52 USD per Hour,0.84 USD per Hour
c3.large,c3,large,"us-east-1a, us-east-1b, us-east-1d, us-east-1e",false,false,xen,2,"i386, x86_64",1,1,2,"1,2",2.8,3.75,32,true,ssd,2,supported,unsupported,Moderate,unsupported,3,10,10,true,"cluster, partition, spread",-,-,true,"ebs, instance-store",true,true,-,false,0.105 USD per Hour,0.188 USD per Hour
c3.xlarge,c3,xlarge,"us-east-1a, us-east-1b, us-east-1d, us-east-1e",false,false,xen,4,x86_64,2,"1,2",2,"1,2",2.8,7.5,80,true,ssd,2,supported,supported,Moderate,unsupported,4,15,15,true,"cluster, partition, spread",-,-,true,"ebs, instance-store",true,true,-,false,0.21 USD per Hour,0.376 USD per Hour
c3.2xlarge,c3,2xlarge,"us-east-1a, us-east-1b, us-east-1d, us-east-1e",false,false,xen,8,x86_64,4,"1,2,3,4",2,"1,2",2.8,15,160,true,ssd,2,supported,supported,High,unsupported,4,15,15,true,"cluster, partition, spread",-,-,true,"ebs, instance-store",true,true,-,false,0.42 USD per Hour,0.752 USD per Hour
c3.4xlarge,c3,4xlarge,"us-east-1a, us-east-1b, us-east-1d, us-east-1e",false,false,xen,16,x86_64,8,"1,2,3,4,5,6,7,8",2,"1,2",2.8,30,320,true,ssd,2,supported,supported,High,unsupported,8,30,30,true,"cluster, partition, spread",-,-,true,"ebs, instance-store",true,true,-,false,0.84 USD per Hour,1.504 USD per Hour
c3.8xlarge,c3,8xlarge,"us-east-1a, us-east-1b, us-east-1d, us-east-1e",false,false,xen,32,x86_64,16,"2,4,6,8,10,12,14,16",2,"1,2",2.8,60,640,true,ssd,2,supported,unsupported,10 Gigabit,unsupported,8,30,30,true,"cluster, partition, spread",-,-,true,"ebs, instance-store",true,true,-,false,1.68 USD per Hour,3.008 USD per Hour
c4.large,c4,large,"us-east-1a, us-east-1b, us-east-1c, us-east-1d, us-east-1e, us-east-1f",false,false,xen,2,x86_64,1,1,2,"1,2",2.9,3.75,-,-,-,-,supported,default,Moderate,unsupported,3,10,10,true,"cluster, partition, spread",-,-,true,ebs,true,true,-,true,0.1 USD per Hour,0.192 USD per Hour
c4.xlarge,c4,xlarge,"us-east-1a, us-east-1b, us-east-1c, us-east-1d, us-east-1e, us-east-1f",false,false,xen,4,x86_64,2,"1,2",2,"1,2",2.9,7.5,-,-,-,-,supported,default,High,unsupported,4,15,15,true,"cluster, partition, spread",-,-,true,ebs,true,true,-,true,0.199 USD per Hour,0.383 USD per Hour
c4.2xlarge,c4,2xlarge,"us-east-1a, us-east-1b, us-east-1c, us-east-1d, us-east-1e, us-east-1f",false,false,xen,8,x86_64,4,"1,2,3,4",2,"1,2",2.9,15,-,-,-,-,supported,default,High,unsupported,4,15,15,true,"cluster, partition, spread",-,-,true,ebs,true,true,-,true,0.398 USD per Hour,0.766 USD per Hour
c4.4xlarge,c4,4xlarge,"us-east-1a, us-east-1b, us-east-1c, us-east-1d, us-east-1e, us-east-1f",false,false,xen,16,x86_64,8,"1,2,3,4,5,6,7,8",2,"1,2",2.9,30,-,-,-,-,supported,default,High,unsupported,8,30,30,true,"cluster, partition, spread",-,-,true,ebs,true,true,-,true,0.796 USD per Hour,1.532 USD per Hour
c4.8xlarge,c4,8xlarge,"us-east-1a, us-east-1b, us-east-1c, us-east-1d, us-east-1e, us-east-1f",false,false,xen,36,x86_64,18,"2,4,6,8,10,12,14,16,18",2,"1,2",2.9,60,-,-,-,-,supported,default,10 Gigabit,unsupported,8,30,30,true,"cluster, partition, spread",-,-,true,ebs,true,true,-,true,1.591 USD per Hour,3.091 USD per Hour
c5.large,c5,large,"us-east-1a, us-east-1b, us-east-1c, us-east-1d, us-east-1f",false,false,nitro,2,x86_64,1,1,2,"1,2",3.4,4,-,-,-,-,supported,default,Up to 10 Gigabit,required,3,10,10,true,"cluster, partition, spread",-,-,true,ebs,true,true,-,true,0.085 USD per Hour,0.177 USD per Hour
c5.xlarge,c5,xlarge,"us-east-1a, us-east-1b, us-east-1c, us-east-1d, us-east-1f",false,false,nitro,4,x86_64,2,2,2,"1,2",3.4,8,-,-,-,-,supported,default,Up to 10 Gigabit,required,4,15,15,true,"cluster, partition, spread",-,-,true,ebs,true,true,-,true,0.17 USD per Hour,0.354 USD per Hour
c5.2xlarge,c5,2xlarge,"us-east-1a, us-east-1b, us-east-1c, us-east-1d, us-east-1f",false,false,nitro,8,x86_64,4,"2,4",2,"1,2",3.4,16,-,-,-,-,supported,default,Up to 10 Gigabit,required,4,15,15,true,"cluster, partition, spread",-,-,true,ebs,true,true,-,true,0.34 USD per Hour,0.708 USD per Hour
c5.4xlarge,c5,4xlarge,"us-east-1a, us-east-1b, us-east-1c, us-east-1d, us-east-1f",false,false,nitro,16,x86_64,8,"2,4,6,8",2,"1,2",3.4,32,-,-,-,-,supported,default,Up to 10 Gigabit,required,8,30,30,true,"cluster, partition, spread",-,-,true,ebs,true,true,-,true,0.68 USD per Hour,1.416 USD per Hour
c5.9xlarge,c5,9xlarge,"us-east-1a, us-east-1b, us-east-1c, us-east-1d, us-east-1f",false,false,nitro,36,x86_64,18,"2,4,6,8,10,12,14,16,18",2,"1,2",3.4,72,-,-,-,-,supported,default,10 Gigabit,required,8,30,30,true,"cluster, partition, spread",-,-,true,ebs,true,true,-,true,1.53 USD per Hour,3.186 USD per Hour
c5.12xlarge,c5,12xlarge,"us-east-1a, us-east-1b, us-east-1c, us-east-1d, us-east-1f",false,false,nitro,48,x86_64,24,"2,4,6,8,10,12,14,16,18,20,22,24",2,"1,2",3.6,96,-,-,-,-,supported,default,12 Gigabit,required,8,30,30,true,"cluster, partition, spread",-,-,true,ebs,-,true,-,true,2.04 USD per Hour,4.248 USD per Hour
c5.18xlarge,c5,18xlarge,"us-east-1a, us-east-1b, us-east-1c, us-east-1d, us-east-1f",false,false,nitro,72,x86_64,36,"4,6,8,10,12,14,16,18,20,22,24,26,28,30,32,34,36",2,"1,2",3.4,144,-,-,-,-,supported,default,25 Gigabit,required,15,50,50,true,"cluster, partition, spread",-,-,true,ebs,true,true,-,true,3.06 USD per Hour,6.372 USD per Hour
c5.24xlarge,c5,24xlarge,"us-east-1a, us-east-1b, us-east-1c, us-east-1d, us-east-1f",false,false,nitro,96,x86_64,48,"2,4,6,8,10,12,14,16,18,20,22,24,26,28,30,32,34,36,38,40,42,44,46,48",2,"1,2",3.6,192,-,-,-,-,supported,default,25 Gigabit,required,15,50,50,true,"cluster, partition, spread",-,-,true,ebs,-,-,-,true,4.08 USD per Hour,8.496 USD per Hour
c5.metal,c5,metal,"us-east-1a, us-east-1b, us-east-1c, us-east-1d, us-east-1f",false,true,,96,x86_64,48,-,2,-,3.6,192,-,-,-,-,supported,default,25 Gigabit,required,15,50,50,true,"cluster, partition, spread",-,-,true,ebs,-,-,-,true,4.08 USD per Hour,8.496 USD per Hour
c5a.large,c5a,large,"us-east-1a, us-east-1b, us-east-1c, us-east-1d, us-east-1f",false,false,nitro,2,x86_64,1,1,2,"1,2",3.3,4,-,-,-,-,supported,default,Up to 10 Gigabit,required,3,10,10,true,"cluster, partition, spread",-,-,true,ebs,-,-,-,true,0.077 USD per Hour,0.169 USD per Hour
c5a.xlarge,c5a,xlarge,"us-east-1a, us-east-1b, us-east-1c, us-east-1d, us-east-1f",false,false,nitro,4,x86_64,2,"1,2",2,"1,2",3.3,8,-,-,-,-,supported,default,Up to 10 Gigabit,required,4,15,15,true,"cluster, partition, spread",-,-,true,ebs,-,-,-,true,0.154 USD per Hour,0.338 USD per Hour
c5a.2xlarge,c5a,2xlarge,"us-east-1a, us-east-1b, us-east-1c, us-east-1d, us-east-1f",false,false,nitro,8,x86_64,4,"1,2,3,4",2,"1,2",3.3,16,-,-,-,-,supported,default,Up to 10 Gigabit,required,4,15,15,true,"cluster, partition, spread",-,-,true,ebs,-,-,-,true,0.308 USD per Hour,0.676 USD per Hour
c5a.4xlarge,c5a,4xlarge,"us-east-1a, us-east-1b, us-east-1c, us-east-1d, us-east-1f",false,false,nitro,16,x86_64,8,"1,2,3,4,8",2,"1,2",3.3,32,-,-,-,-,supported,default,Up to 10 Gigabit,required,8,30,30,true,"cluster, partition, spread",-,-,true,ebs,-,-,-,true,0.616 USD per Hour,1.352 USD per Hour
c5a.8xlarge,c5a,8xlarge,"us-east-1a, us-east-1b, us-east-1c, us-east-1d, us-east-1f",false,false,nitro,32,x86_64,16,"1,2,3,4,8,12,16",2,"1,2",3.3,64,-,-,-,-,supported,default,10 Gigabit,required,8,30,30,true,"cluster, partition, spread",-,-,true,ebs,-,-,-,true,1.232 USD per Hour,2.704 USD per Hour
c5a.12xlarge,c5a,12xlarge,"us-east-1a, us-east-1b, us-east-1c, us-east-1d, us-east-1f",false,false,nitro,48,x86_64,24,"1,2,3,4,8,12,16,20,24",2,"1,2",3.3,96,-,-,-,-,supported,default,12 Gigabit,required,8,30,30,true,"cluster, partition, spread",-,-,true,ebs,-,-,-,true,1.848 USD per Hour,4.056 USD per Hour
c5a.16xlarge,c5a,16xlarge,"us-east-1a, us-east-1b, us-east-1c, us-east-1d, us-east-1f",false,false,nitro,64,x86_64,32,"1,2,3,4,8,12,16,20,24,28,32",2,"1,2",3.3,128,-,-,-,-,supported,default,20 Gigabit,required,15,50,50,true,"cluster, partition, spread",-,-,true,ebs,-,-,-,true,2.464 USD per Hour,5.408 USD per Hour
c5a.24xlarge,c5a,24xlarge,"us-east-1a, us-east-1b, us-east-1c, us-east-1d, us-east-1f",false,false,nitro,96,x86_64,48,"1,2,3,4,8,12,16,20,24,28,32,36,40,44,48",2,"1,2",3.3,192,-,-,-,-,supported,default,20 Gigabit,required,15,50,50,true,"cluster, partition, spread",-,-,true,ebs,-,-,-,true,3.696 USD per Hour,8.112 USD per Hour
c5ad.large,c5ad,large,"us-east-1a, us-east-1b, us-east-1c, us-east-1d, us-east-1f",false,false,nitro,2,x86_64,1,1,2,"1,2",3.3,4,75,true,ssd,1,supported,default,Up to 10 Gigabit,required,3,10,10,true,"cluster, partition, spread",-,-,-,ebs,-,-,-,true,0.086 USD per Hour,0.178 USD per Hour
c5ad.xlarge,c5ad,xlarge,"us-east-1a, us-east-1b, us-east-1c, us-east-1d, us-east-1f",false,false,nitro,4,x86_64,2,"1,2",2,"1,2",3.3,8,150,true,ssd,1,supported,default,Up to 10 Gigabit,required,4,15,15,true,"cluster, partition, spread",-,-,-,ebs,-,-,-,true,0.172 USD per Hour,0.356 USD per Hour
c5ad.2xlarge,c5ad,2xlarge,"us-east-1a, us-east-1b, us-east-1c, us-east-1d, us-east-1f",false,false,nitro,8,x86_64,4,"1,2,3,4",2,"1,2",3.3,16,300,true,ssd,1,supported,default,Up to 10 Gigabit,required,4,15,15,true,"cluster, partition, spread",-,-,-,ebs,-,-,-,true,0.344 USD per Hour,0.712 USD per Hour
c5ad.4xlarge,c5ad,4xlarge,"us-east-1a, us-east-1b, us-east-1c, us-east-1d, us-east-1f",false,false,nitro,16,x86_64,8,"1,2,3,4,8",2,"1,2",3.3,32,600,true,ssd,2,supported,default,Up to 10 Gigabit,required,8,30,30,true,"cluster, partition, spread",-,-,-,ebs,-,-,-,true,0.688 USD per Hour,1.424 USD per Hour
c5ad.8xlarge,c5ad,8xlarge,"us-east-1a, us-east-1b, us-east-1c, us-east-1d, us-east-1f",false,false,nitro,32,x86_64,16,"1,2,3,4,8,12,16",2,"1,2",3.3,64,1200,true,ssd,2,supported,default,10 Gigabit,required,8,30,30,true,"cluster, partition, spread",-,-,-,ebs,-,-,-,true,1.376 USD per Hour,2.848 USD per Hour
c5ad.12xlarge,c5ad,12xlarge,"us-east-1a, us-east-1b, us-east-1c, us-east-1d, us-east-1f",false,false,nitro,48,x86_64,24,"1,2,3,4,8,12,16,20,24",2,"1,2",3.3,96,1800,true,ssd,2,supported,default,12 Gigabit,required,8,30,30,true,"cluster, partition, spread",-,-,-,ebs,-,-,-,true,2.064 USD per Hour,4.272 USD per Hour
c5ad.16xlarge,c5ad,16xlarge,"us-east-1a, us-east-1b, us-east-1c, us-east-1d, us-east-1f",false,false,nitro,64,x86_64,32,"1,2,3,4,8,12,16,20,24,28,32",2,"1,2",3.3,128,2400,true,ssd,2,supported,default,20 Gigabit,required,15,50,50,true,"cluster, partition, spread",-,-,-,ebs,-,-,-,true,2.752 USD per Hour,5.696 USD per Hour
c5ad.24xlarge,c5ad,24xlarge,"us-east-1a, us-east-1b, us-east-1c, us-east-1d, us-east-1f",false,false,nitro,96,x86_64,48,"1,2,3,4,8,12,16,20,24,28,32,36,40,44,48",2,"1,2",3.3,192,3800,true,ssd,2,supported,default,20 Gigabit,required,15,50,50,true,"cluster, partition, spread",-,-,-,ebs,-,-,-,true,4.128 USD per Hour,8.544 USD per Hour
c5d.large,c5d,large,"us-east-1a, us-east-1b, us-east-1c, us-east-1d, us-east-1f",false,false,nitro,2,x86_64,1,1,2,"1,2",3.4,4,50,true,ssd,1,supported,default,Up to 10 Gigabit,required,3,10,10,true,"cluster, partition, spread",-,-,-,ebs,true,true,-,true,0.096 USD per Hour,0.188 USD per Hour
c5d.xlarge,c5d,xlarge,"us-east-1a, us-east-1b, us-east-1c, us-east-1d, us-east-1f",false,false,nitro,4,x86_64,2,2,2,"1,2",3.4,8,100,true,ssd,1,supported,default,Up to 10 Gigabit,required,4,15,15,true,"cluster, partition, spread",-,-,-,ebs,true,true,-,true,0.192 USD per Hour,0.376 USD per Hour
c5d.2xlarge,c5d,2xlarge,"us-east-1a, us-east-1b, us-east-1c, us-east-1d, us-east-1f",false,false,nitro,8,x86_64,4,"2,4",2,"1,2",3.4,16,200,true,ssd,1,supported,default,Up to 10 Gigabit,required,4,15,15,true,"cluster, partition, spread",-,-,-,ebs,true,true,-,true,0.384 USD per Hour,0.752 USD per Hour
c5d.4xlarge,c5d,4xlarge,"us-east-1a, us-east-1b, us-east-1c, us-east-1d, us-east-1f",false,false,nitro,16,x86_64,8,"2,4,6,8",2,"1,2",3.4,32,400,true,ssd,1,supported,default,Up to 10 Gigabit,required,8,30,30,true,"cluster, partition, spread",-,-,-,ebs,true,true,-,true,0.768 USD per Hour,1.504 USD per Hour
c5d.9xlarge,c5d,9xlarge,"us-east-1a, us-east-1b, us-east-1c, us-east-1d, us-east-1f",false,false,nitro,36,x86_64,18,"2,4,6,8,10,12,14,16,18",2,"1,2",3.4,72,900,true,ssd,1,supported,default,10 Gigabit,required,8,30,30,true,"cluster, partition, spread",-,-,-,ebs,true,true,-,true,1.728 USD per Hour,3.384 USD per Hour
c5d.12xlarge,c5d,12xlarge,"us-east-1a, us-east-1b, us-east-1d",false,false,nitro,48,x86_64,24,"2,4,6,8,10,12,14,16,18,20,22,24",2,"1,2",3.6,96,1800,true,ssd,2,supported,default,12 Gigabit,required,8,30,30,true,"cluster, partition, spread",-,-,-,ebs,-,true,-,true,2.304 USD per Hour,4.512 USD per Hour
c5d.18xlarge,c5d,18xlarge,"us-east-1a, us-east-1b, us-east-1c, us-east-1d, us-east-1f",false,false,nitro,72,x86_64,36,"4,6,8,10,12,14,16,18,20,22,24,26,28,30,32,34,36",2,"1,2",3.4,144,1800,true,ssd,2,supported,default,25 Gigabit,required,15,50,50,true,"cluster, partition, spread",-,-,-,ebs,true,true,-,true,3.456 USD per Hour,6.768 USD per Hour
c5d.24xlarge,c5d,24xlarge,"us-east-1a, us-east-1b, us-east-1d",false,false,nitro,96,x86_64,48,"2,4,6,8,10,12,14,16,18,20,22,24,26,28,30,32,34,36,38,40,42,44,46,48",2,"1,2",3.6,192,3600,true,ssd,4,supported,default,25 Gigabit,required,15,50,50,true,"cluster, partition, spread",-,-,-,ebs,-,-,-,true,4.608 USD per Hour,9.024 USD per Hour
c5d.metal,c5d,metal,"us-east-1a, us-east-1b, us-east-1c, us-east-1d",false,true,,96,x86_64,48,-,2,-,3.6,192,3600,true,ssd,4,supported,default,25 Gigabit,required,15,50,50,true,"cluster, partition, spread",-,-,-,ebs,-,-,-,true,4.608 USD per Hour,9.024 USD per Hour
c5n.large,c5n,large,"us-east-1a, us-east-1b, us-east-1c, us-east-1d, us-east-1f",false,false,nitro,2,x86_64,1,1,2,"1,2",3.4,5.3,-,-,-,-,supported,default,Up to 25 Gigabit,required,3,10,10,true,"cluster, partition, spread",-,-,true,ebs,true,-,-,true,0.108 USD per Hour,0.2 USD per Hour
c5n.xlarge,c5n,xlarge,"us-east-1a, us-east-1b, us-east-1c, us-east-1d, us-east-1f",false,false,nitro,4,x86_64,2,2,2,"1,2",3.4,10.5,-,-,-,-,supported,default,Up to 25 Gigabit,required,4,15,15,true,"cluster, partition, spread",-,-,true,ebs,true,-,-,true,0.216 USD per Hour,0.4 USD per Hour
c5n.2xlarge,c5n,2xlarge,"us-east-1a, us-east-1b, us-east-1c, us-east-1d, us-east-1f",false,false,nitro,8,x86_64,4,"2,4",2,"1,2",3.4,21,-,-,-,-,supported,default,Up to 25 Gigabit,required,4,15,15,true,"cluster, partition, spread",-,-,true,ebs,true,-,-,true,0.432 USD per Hour,0.8 USD per Hour
c5n.4xlarge,c5n,4xlarge,"us-east-1a, us-east-1b, us-east-1c, us-east-1d, us-east-1f",false,false,nitro,16,x86_64,8,"2,4,6,8",2,"1,2",3.4,42,-,-,-,-,supported,default,Up to 25 Gigabit,required,8,30,30,true,"cluster, partition, spread",-,-,true,ebs,true,-,-,true,0.864 USD per Hour,1.6 USD per Hour
c5n.9xlarge,c5n,9xlarge,"us-east-1a, us-east-1b, us-east-1c, us-east-1d, us-east-1f",false,false,nitro,36,x86_64,18,"2,4,6,8,10,12,14,16,18",2,"1,2",3.4,96,-,-,-,-,supported,default,50 Gigabit,required,8,30,30,true,"cluster, partition, spread",-,-,true,ebs,true,-,-,true,1.944 USD per Hour,3.6 USD per Hour
c5n.18xlarge,c5n,18xlarge,"us-east-1a, us-east-1b, us-east-1c, us-east-1d, us-east-1f",false,false,nitro,72,x86_64,36,"4,6,8,10,12,14,16,18,20,22,24,26,28,30,32,34,36",2,"1,2",3.4,192,-,-,-,-,supported,default,100 Gigabit,required,15,50,50,true,"cluster, partition, spread",-,-,true,ebs,true,-,-,true,3.888 USD per Hour,7.2 USD per Hour
c5n.metal,c5n,metal,"us-east-1a, us-east-1b, us-east-1c, us-east-1d, us-east-1f",false,true,,72,x86_64,36,-,2,-,3.4,192,-,-,-,-,supported,default,100 Gigabit,required,15,50,50,true,"cluster, partition, spread",-,-,true,ebs,true,-,-,true,3.888 USD per Hour,7.2 USD per Hour
c6a.large,c6a,large,"us-east-1a, us-east-1b, us-east-1c, us-east-1d, us-east-1f",false,false,nitro,2,x86_64,1,1,2,"1,2",3.6,4,-,-,-,-,supported,default,Up to 12.5 Gigabit,required,3,10,10,true,"cluster, partition, spread",-,-,true,ebs,true,-,-,true,0.0765 USD per Hour,0.1685 USD per Hour
c6a.xlarge,c6a,xlarge,"us-east-1a, us-east-1b, us-east-1c, us-east-1d, us-east-1f",false,false,nitro,4,x86_64,2,"1,2",2,"1,2",3.6,8,-,-,-,-,supported,default,Up to 12.5 Gigabit,required,4,15,15,true,"cluster, partition, spread",-,-,true,ebs,true,-,-,true,0.153 USD per Hour,0.337 USD per Hour
